2019-08-17 @ 19:38:41 | Starting Bonus Script
2019-08-17 @ 19:38:59 | Starting Bonus Script
2019-08-17 @ 19:38:59 | bonus added
2019-08-17 @ 19:39:01 | Bonus script complete
2019-08-18 @ 17:30:02 | Starting Bonus Script
2019-08-18 @ 17:30:02 | nothing yet
2019-08-18 @ 17:40:03 | nothing yet
2019-08-18 @ 17:50:03 | nothing yet
2019-08-18 @ 18:00:03 | nothing yet
2019-08-18 @ 18:10:03 | nothing yet
2019-08-18 @ 18:20:03 | nothing yet
2019-08-18 @ 18:30:03 | nothing yet
2019-08-18 @ 18:40:03 | bonus added
2019-08-18 @ 18:40:05 | Bonus script complete
2019-08-19 @ 21:00:02 | Starting Bonus Script
2019-08-19 @ 21:00:02 | nothing yet
2019-08-19 @ 21:10:02 | nothing yet
2019-08-19 @ 21:20:02 | nothing yet
2019-08-19 @ 21:30:02 | nothing yet
2019-08-19 @ 21:40:02 | nothing yet
2019-08-19 @ 21:50:02 | nothing yet
2019-08-19 @ 22:00:03 | bonus added
2019-08-19 @ 22:00:04 | Bonus script complete
